"Adrian Colton",,,,
"Aidan Lagan",,,,
"Aidan Logan",,,,
"Alan Day",,,,
"Ann Gormley",,,,
"Anna Forrest",,,,
"Billy Armstrong",,,,
"Conor Rafferty","Q76509748","2019 United Kingdom general election","Mid Ulster","independent politician"
"Denise Johnston","Q76130879","2019 United Kingdom general election","Mid Ulster","Social Democratic and Labour Party"
"Eilish Haughey",,,,
"Ephrem Bogues",,,,
"Eric Bullick","Q98270755","1992 United Kingdom general election","Fermanagh and South Tyrone","Alliance Party of Northern Ireland"
"Fay Watson",,,,
"Francie Donnelly","Q98266348","1983 United Kingdom general election","East Londonderry","Workers' Party of Ireland"
"Francie Donnelly","Q98266348","1987 United Kingdom general election","East Londonderry","Workers' Party of Ireland"
"Francis Donnelly",,,,
"Gareth Ferguson",,,,
"Harry Hutchinson",,,,
"Hugh Scullion",,,,
"Ian Butler",,,,
"James Anderson",,,,
"John Shearer",,,,
"Lucille Nicholson",,,,
"Malachy Quinn",,,,
"Mark Glasgow",,,,
"Maureen Murray",,,,
"Mel Boyle","Q76130949","2019 United Kingdom general election","Mid Ulster","Alliance Party of Northern Ireland"
"Michael Cunningham",,,,
"Neil Richardson","Q76119964","2019 United Kingdom general election","Mid Ulster","Ulster Unionist Party"
"Nigel Lutton",,,,
"Paddy Duffy",,,,
"Paddy McLean",,,,
"Patrick Bogan",,,,
"Patrick Fahy",,,,
"Patrick McGarvey",,,,
"Phelim O'Neill",,,,
"Sean Begley",,,,
"Tommy Owens",,,,
"Tony Quinn","Q62273478","2018 Leeds City Council election","Roundhay","independent politician"
"Tony Quinn","Q62273478","2019 Leeds City Council Election","Roundhay","independent politician"
